a"weak"
0aATXI
1aICLK
2aALNA
3aEPZM
4aAXDX
5aSRGA
6aWNW
7aINPX
8aZSAN
9aSNAX
10aVRM
11aCALA
12aFWBI
13aFREQ
14aAFIB
