astrong
0aNRGV
1aCHKEL
2aSGLY
3aSGML
4aTHRX
5aCHKEZ
6aBPT
7aNRT
8aCHKEW
9aIPI
10aEMBK
11aCRGY
12aHUDI
13aAR
14aUTAAU
